host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,solo.dual.count,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12,prop.gp.13,prop.gp.14,prop.gp.15,prop.gp.16,prop.gp.17,prop.gp.18,prop.gp.19,prop.gp.20,prop.gp.21,prop.gp.22,prop.gp.23,prop.gp.24,prop.gp.25,prop.gp.26,prop.gp.27,prop.gp.28,prop.gp.29,prop.gp.30,prop.gp.31,prop.gp.32
200703_20-07825_HIV09-00618_FL18_S6_L000,1020_to_1270,1145,283,2255,1,1,0.0051279891877605245,0.0051279891877605245,0.0087308918,0.033324760099999996,0.010823866146039146,0.010823866146039146,0.004269125015523766,0.004269125015523766,0.007268593444029696,0.027743343788399988,0.00901102479682031,0.00901102479682031,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709_20-07994_HIV07-01067_FL21_S1_L000,1020_to_1270,1145,340,1888,1,1,0.01571090861117585,0.01571090861117585,0.0171922418,0.09697161039999999,0.02107168506678119,0.02107168506678119,0.013079558187966833,0.013079558187966833,0.014312789449028944,0.08073026533331244,0.017542481963991836,0.017542481963991836,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08518_HIV10-02405_FL24_S14_L000,1020_to_1270,1145,484,1648,1,1,0.018332291455703895,0.018332291455703895,0.0163226227,0.062192245199999996,0.017193501838739456,0.017193501838739456,0.015261897242727364,0.015261897242727364,0.013588818996312646,0.05177594180358613,0.014313838449466772,0.014313838449466772,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08522_HIV11-02415_FL24_S18_L000,1020_to_1270,1145,464,1053,1,1,0.01625529668584995,0.01625529668584995,0.0171753767,0.0916444506,0.026253610549306434,0.026253610549306434,0.013532769117758005,0.013532769117758005,0.014298749009850335,0.07629532790829723,0.021856509723416528,0.021856509723416528,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200814_20-09728_HIV09-02843_FL30_S2_L000,1020_to_1270,1145,388,1393,1,1,0.020464663693108405,0.020464663693108405,0.013116074399999999,0.1032928409,0.031049052414263832,0.031049052414263832,0.017037127908743562,0.017037127908743562,0.010919321253671444,0.0859927809643618,0.025848784292762914,0.025848784292762914,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703_20-07825_HIV09-00618_FL18_S6_L000,1030_to_1280,1155,305,2493,1,1,0.005200286014520658,0.005200286014520658,0.0084441148,0.029267983900000002,0.010964021101755823,0.010964021101755823,0.004335710712323563,0.004335710712323563,0.007040235650927869,0.02440202538264436,0.00914119408207321,0.00914119408207321,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709_20-07994_HIV07-01067_FL21_S1_L000,1030_to_1280,1155,385,2136,1,1,0.01804427925617977,0.01804427925617977,0.0174479309,0.0518201598,0.017505974439364178,0.017505974439364178,0.01504432153322395,0.01504432153322395,0.01454711927378178,0.04320478168543365,0.014595512764966638,0.014595512764966638,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08518_HIV10-02405_FL24_S14_L000,1030_to_1280,1155,575,1871,1,1,0.009319083699839652,0.009319083699839652,0.0164522275,0.061282484199999994,0.019009641172638085,0.019009641172638085,0.007769736301736674,0.007769736301736674,0.013716956877786159,0.05109394415649866,0.0158491868792396,0.0158491868792396,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08522_HIV11-02415_FL24_S18_L000,1030_to_1280,1155,572,1449,1,1,0.05161353192732924,0.05161353192732924,0.0172971655,0.0951556258,0.03338898621328671,0.03338898621328671,0.04303250679930206,0.04303250679930206,0.014421419426119075,0.07933549519524673,0.02783788906886015,0.02783788906886015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200814_20-09728_HIV09-02843_FL30_S2_L000,1030_to_1280,1155,517,1971,1,1,0.022037525756621004,0.022037525756621004,0.0174821155,0.10781119839999999,0.03473113458312867,0.03473113458312867,0.01837366949227222,0.01837366949227222,0.014575620501599374,0.08988701131170523,0.028956898109594186,0.028956898109594186,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
